time,work_title,kudos,hits,bookmarks,comments,chapters,words
2025-09-28 21:14:20.033290,Wedding,204,1746,13,7,2,4149
2025-09-28 21:14:33.233575,The Brothers Hamato,49,600,15,58,5,25102
2025-09-28 21:14:33.233575,For the Family,37,327,9,22,1,4417
2025-09-28 21:14:33.233575,Noose Loosely Wound,425,10531,45,565,18,73440
2025-09-28 21:14:33.233575,Blame (Lies),41,480,8,14,1,2486
2025-09-28 21:14:33.233575,I am my father's daughter,46,446,5,5,1,3810
2025-09-28 21:14:33.233575,immutable,99,715,14,10,1,2997
2025-09-28 21:14:33.233575,father/daughter,70,794,11,27,1,2447
2025-09-28 21:14:33.233575,brother (noun),69,722,10,23,1,2206
2025-09-28 21:14:33.233575,Annihilation: Hamato,162,1343,12,44,1,3354
2025-09-28 21:14:33.233575,Puppet Tightly Strung,891,18606,145,629,17,60028
2025-09-28 21:14:33.233575,blood of the covenant,182,1478,35,39,1,3106
2025-09-28 21:14:33.233575,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-09-28 21:14:33.233575,Aegis,263,2320,24,21,1,1783
2025-09-28 21:14:33.233575,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-09-28 21:14:33.233575,Reunited,214,1632,7,15,1,3512
2025-09-28 21:14:33.233575,Wedding,204,1746,13,7,2,4149
2025-09-28 21:15:07.738751,The Brothers Hamato,49,598,15,58,5,25102
2025-09-28 21:15:07.738751,For the Family,37,327,9,22,1,4417
2025-09-28 21:15:07.738751,Noose Loosely Wound,425,10531,45,565,18,73440
2025-09-28 21:15:07.738751,Blame (Lies),41,480,8,14,1,2486
2025-09-28 21:15:07.738751,I am my father's daughter,46,446,5,5,1,3810
2025-09-28 21:15:07.738751,immutable,99,715,14,10,1,2997
2025-09-28 21:15:07.738751,father/daughter,70,794,11,27,1,2447
2025-09-28 21:15:07.738751,brother (noun),69,722,10,23,1,2206
2025-09-28 21:15:07.738751,Annihilation: Hamato,162,1343,12,44,1,3354
2025-09-28 21:15:07.738751,Puppet Tightly Strung,891,18606,145,629,17,60028
2025-09-28 21:15:07.738751,blood of the covenant,182,1478,35,39,1,3106
2025-09-28 21:15:07.738751,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-09-28 21:15:07.738751,Aegis,263,2320,24,21,1,1783
2025-09-28 21:15:07.738751,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-09-28 21:15:07.738751,Reunited,214,1632,7,15,1,3512
2025-09-28 21:15:07.738751,Wedding,204,1746,13,7,2,4149
2025-09-29 03:48:29.915870,The Brothers Hamato,49,609,15,58,5,25102
2025-09-29 03:48:29.915870,For the Family,37,327,9,22,1,4417
2025-09-29 03:48:29.915870,Noose Loosely Wound,425,10537,45,571,18,73440
2025-09-29 03:48:29.915870,Blame (Lies),41,481,8,14,1,2486
2025-09-29 03:48:29.915870,I am my father's daughter,46,447,5,5,1,3810
2025-09-29 03:48:29.915870,immutable,99,716,14,10,1,2997
2025-09-29 03:48:29.915870,father/daughter,70,794,11,27,1,2447
2025-09-29 03:48:29.915870,brother (noun),69,722,10,23,1,2206
2025-09-29 03:48:29.915870,Annihilation: Hamato,162,1343,12,44,1,3354
2025-09-29 03:48:29.915870,Puppet Tightly Strung,891,18611,145,629,17,60028
2025-09-29 03:48:29.915870,blood of the covenant,183,1479,35,39,1,3106
2025-09-29 03:48:29.915870,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-09-29 03:48:29.915870,Aegis,263,2320,24,21,1,1783
2025-09-29 03:48:29.915870,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-09-29 03:48:29.915870,Reunited,214,1632,7,15,1,3512
2025-09-29 03:48:29.915870,Wedding,204,1746,13,7,2,4149
2025-09-29 12:18:13.347263,The Brothers Hamato,49,617,15,59,5,25102
2025-09-29 12:18:13.347263,For the Family,37,329,9,22,1,4417
2025-09-29 12:18:13.347263,Noose Loosely Wound,426,10538,45,580,18,73440
2025-09-29 12:18:13.347263,Blame (Lies),41,481,8,14,1,2486
2025-09-29 12:18:13.347263,I am my father's daughter,46,447,5,5,1,3810
2025-09-29 12:18:13.347263,immutable,99,717,14,10,1,2997
2025-09-29 12:18:13.347263,father/daughter,70,794,11,27,1,2447
2025-09-29 12:18:13.347263,brother (noun),69,722,10,23,1,2206
2025-09-29 12:18:13.347263,Annihilation: Hamato,162,1343,12,44,1,3354
2025-09-29 12:18:13.347263,Puppet Tightly Strung,891,18616,145,629,17,60028
2025-09-29 12:18:13.347263,blood of the covenant,183,1479,35,39,1,3106
2025-09-29 12:18:13.347263,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-09-29 12:18:13.347263,Aegis,263,2320,24,21,1,1783
2025-09-29 12:18:13.347263,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-09-29 12:18:13.347263,Reunited,214,1633,7,15,1,3512
2025-09-29 12:18:13.347263,Wedding,204,1746,13,7,2,4149
2025-09-29 19:40:43.410242,The Brothers Hamato,49,630,15,60,5,25102
2025-09-29 19:40:43.410242,For the Family,37,329,9,22,1,4417
2025-09-29 19:40:43.410242,Noose Loosely Wound,426,10542,45,580,18,73440
2025-09-29 19:40:43.410242,Blame (Lies),41,481,8,14,1,2486
2025-09-29 19:40:43.410242,I am my father's daughter,46,447,5,5,1,3810
2025-09-29 19:40:43.410242,immutable,99,717,14,10,1,2997
2025-09-29 19:40:43.410242,father/daughter,70,794,11,27,1,2447
2025-09-29 19:40:43.410242,brother (noun),69,722,10,23,1,2206
2025-09-29 19:40:43.410242,Annihilation: Hamato,162,1343,12,44,1,3354
2025-09-29 19:40:43.410242,Puppet Tightly Strung,891,18622,145,629,17,60028
2025-09-29 19:40:43.410242,blood of the covenant,183,1479,35,39,1,3106
2025-09-29 19:40:43.410242,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-09-29 19:40:43.410242,Aegis,263,2320,24,21,1,1783
2025-09-29 19:40:43.410242,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-09-29 19:40:43.410242,Reunited,214,1633,7,15,1,3512
2025-09-29 19:40:43.410242,Wedding,204,1746,13,7,2,4149
2025-09-30 18:00:14.048737,The Brothers Hamato,50,643,15,60,5,25102
2025-09-30 18:00:14.048737,For the Family,37,329,9,22,1,4417
2025-09-30 18:00:14.048737,Noose Loosely Wound,426,10548,45,580,18,73440
2025-09-30 18:00:14.048737,Blame (Lies),41,482,8,14,1,2486
2025-09-30 18:00:14.048737,I am my father's daughter,46,448,5,5,1,3810
2025-09-30 18:00:14.048737,immutable,99,721,14,10,1,2997
2025-09-30 18:00:14.048737,father/daughter,70,795,11,27,1,2447
2025-09-30 18:00:14.048737,brother (noun),69,722,10,23,1,2206
2025-09-30 18:00:14.048737,Annihilation: Hamato,163,1345,12,44,1,3354
2025-09-30 18:00:14.048737,Puppet Tightly Strung,893,18639,145,630,17,60028
2025-09-30 18:00:14.048737,blood of the covenant,183,1480,35,40,1,3106
2025-09-30 18:00:14.048737,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-09-30 18:00:14.048737,Aegis,263,2322,24,22,1,1783
2025-09-30 18:00:14.048737,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-09-30 18:00:14.048737,Reunited,214,1633,7,15,1,3512
2025-09-30 18:00:14.048737,Wedding,204,1746,13,7,2,4149
2025-10-01 09:02:23.208815,The Brothers Hamato,50,650,15,60,5,25102
2025-10-01 09:02:23.208815,For the Family,37,330,9,22,1,4417
2025-10-01 09:02:23.208815,Noose Loosely Wound,426,10551,45,580,18,73440
2025-10-01 09:02:23.208815,Blame (Lies),41,483,8,14,1,2486
2025-10-01 09:02:23.208815,I am my father's daughter,46,448,5,5,1,3810
2025-10-01 09:02:23.208815,immutable,99,723,14,10,1,2997
2025-10-01 09:02:23.208815,father/daughter,70,795,11,27,1,2447
2025-10-01 09:02:23.208815,brother (noun),69,722,10,23,1,2206
2025-10-01 09:02:23.208815,Annihilation: Hamato,163,1345,12,44,1,3354
2025-10-01 09:02:23.208815,Puppet Tightly Strung,893,18644,145,630,17,60028
2025-10-01 09:02:23.208815,blood of the covenant,183,1481,35,40,1,3106
2025-10-01 09:02:23.208815,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-10-01 09:02:23.208815,Aegis,263,2322,24,22,1,1783
2025-10-01 09:02:23.208815,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-10-01 09:02:23.208815,Reunited,214,1633,7,15,1,3512
2025-10-01 09:02:23.208815,Wedding,204,1746,13,7,2,4149
2025-10-01 18:00:06.806382,The Brothers Hamato,50,652,15,60,5,25102
2025-10-01 18:00:06.806382,For the Family,37,330,9,22,1,4417
2025-10-01 18:00:06.806382,Noose Loosely Wound,426,10551,45,580,18,73440
2025-10-01 18:00:06.806382,Blame (Lies),41,484,8,14,1,2486
2025-10-01 18:00:06.806382,I am my father's daughter,46,448,5,5,1,3810
2025-10-01 18:00:06.806382,immutable,99,723,14,10,1,2997
2025-10-01 18:00:06.806382,father/daughter,70,795,11,27,1,2447
2025-10-01 18:00:06.806382,brother (noun),69,722,10,23,1,2206
2025-10-01 18:00:06.806382,Annihilation: Hamato,163,1345,12,44,1,3354
2025-10-01 18:00:06.806382,Puppet Tightly Strung,893,18645,145,630,17,60028
2025-10-01 18:00:06.806382,blood of the covenant,183,1481,35,40,1,3106
2025-10-01 18:00:06.806382,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-10-01 18:00:06.806382,Aegis,263,2322,24,22,1,1783
2025-10-01 18:00:06.806382,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-10-01 18:00:06.806382,Reunited,214,1633,7,15,1,3512
2025-10-01 18:00:06.806382,Wedding,204,1746,13,7,2,4149
2025-10-02 02:17:47.458858,The Brothers Hamato,51,657,15,60,5,25102
2025-10-02 02:17:47.458858,For the Family,37,330,9,22,1,4417
2025-10-02 02:17:47.458858,Noose Loosely Wound,426,10553,45,580,18,73440
2025-10-02 02:17:47.458858,Blame (Lies),41,485,8,14,1,2486
2025-10-02 02:17:47.458858,I am my father's daughter,46,448,5,5,1,3810
2025-10-02 02:17:47.458858,immutable,99,723,14,10,1,2997
2025-10-02 02:17:47.458858,father/daughter,70,795,11,27,1,2447
2025-10-02 02:17:47.458858,brother (noun),69,722,10,23,1,2206
2025-10-02 02:17:47.458858,Annihilation: Hamato,163,1345,12,44,1,3354
2025-10-02 02:17:47.458858,Puppet Tightly Strung,893,18649,145,630,17,60028
2025-10-02 02:17:47.458858,blood of the covenant,183,1484,35,40,1,3106
2025-10-02 02:17:47.458858,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-10-02 02:17:47.458858,Aegis,263,2322,24,22,1,1783
2025-10-02 02:17:47.458858,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-10-02 02:17:47.458858,Reunited,214,1633,7,15,1,3512
2025-10-02 02:17:47.458858,Wedding,204,1746,13,7,2,4149
2025-10-03 18:00:04.678289,The Brothers Hamato,51,663,15,61,5,25102
2025-10-03 18:00:04.678289,For the Family,37,330,9,22,1,4417
2025-10-03 18:00:04.678289,Noose Loosely Wound,426,10559,45,580,18,73440
2025-10-03 18:00:04.678289,Blame (Lies),41,486,8,14,1,2486
2025-10-03 18:00:04.678289,I am my father's daughter,46,448,5,5,1,3810
2025-10-03 18:00:04.678289,immutable,99,723,14,10,1,2997
2025-10-03 18:00:04.678289,father/daughter,70,795,11,27,1,2447
2025-10-03 18:00:04.678289,brother (noun),69,724,10,23,1,2206
2025-10-03 18:00:04.678289,Annihilation: Hamato,164,1346,12,44,1,3354
2025-10-03 18:00:04.678289,Puppet Tightly Strung,894,18668,145,631,17,60028
2025-10-03 18:00:04.678289,blood of the covenant,184,1486,35,41,1,3106
2025-10-03 18:00:04.678289,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-10-03 18:00:04.678289,Aegis,263,2322,24,23,1,1783
2025-10-03 18:00:04.678289,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-10-03 18:00:04.678289,Reunited,214,1633,7,15,1,3512
2025-10-03 18:00:04.678289,Wedding,204,1746,13,7,2,4149
2025-10-04 04:29:21.125235,The Brothers Hamato,51,670,15,62,5,25102
2025-10-04 04:29:21.125235,For the Family,37,330,9,22,1,4417
2025-10-04 04:29:21.125235,Noose Loosely Wound,426,10559,45,580,18,73440
2025-10-04 04:29:21.125235,Blame (Lies),41,486,8,14,1,2486
2025-10-04 04:29:21.125235,I am my father's daughter,46,448,5,5,1,3810
2025-10-04 04:29:21.125235,immutable,99,723,14,10,1,2997
2025-10-04 04:29:21.125235,father/daughter,70,797,11,27,1,2447
2025-10-04 04:29:21.125235,brother (noun),69,724,10,23,1,2206
2025-10-04 04:29:21.125235,Annihilation: Hamato,164,1347,12,44,1,3354
2025-10-04 04:29:21.125235,Puppet Tightly Strung,894,18672,145,631,17,60028
2025-10-04 04:29:21.125235,blood of the covenant,184,1487,35,41,1,3106
2025-10-04 04:29:21.125235,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-10-04 04:29:21.125235,Aegis,263,2323,24,23,1,1783
2025-10-04 04:29:21.125235,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-10-04 04:29:21.125235,Reunited,214,1633,7,15,1,3512
2025-10-04 04:29:21.125235,Wedding,204,1746,13,7,2,4149
2025-10-04 06:06:40.197526,The Brothers Hamato,51,670,15,62,5,25102
2025-10-04 06:06:40.197526,For the Family,37,330,9,22,1,4417
2025-10-04 06:06:40.197526,Noose Loosely Wound,426,10559,45,580,18,73440
2025-10-04 06:06:40.197526,Blame (Lies),41,486,8,14,1,2486
2025-10-04 06:06:40.197526,I am my father's daughter,46,448,5,5,1,3810
2025-10-04 06:06:40.197526,immutable,99,723,14,10,1,2997
2025-10-04 06:06:40.197526,father/daughter,70,797,11,27,1,2447
2025-10-04 06:06:40.197526,brother (noun),69,724,10,23,1,2206
2025-10-04 06:06:40.197526,Annihilation: Hamato,164,1347,12,44,1,3354
2025-10-04 06:06:40.197526,Puppet Tightly Strung,894,18672,145,631,17,60028
2025-10-04 06:06:40.197526,blood of the covenant,184,1487,35,41,1,3106
2025-10-04 06:06:40.197526,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-10-04 06:06:40.197526,Aegis,263,2323,24,23,1,1783
2025-10-04 06:06:40.197526,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-10-04 06:06:40.197526,Reunited,214,1633,7,15,1,3512
2025-10-04 06:06:40.197526,Wedding,204,1746,13,7,2,4149
2025-10-05 03:35:02.951953,The Brothers Hamato,52,678,15,62,5,25102
2025-10-05 03:35:02.951953,For the Family,37,330,9,22,1,4417
2025-10-05 03:35:02.951953,Noose Loosely Wound,426,10563,45,580,18,73440
2025-10-05 03:35:02.951953,Blame (Lies),41,487,8,14,1,2486
2025-10-05 03:35:02.951953,I am my father's daughter,46,448,5,5,1,3810
2025-10-05 03:35:02.951953,immutable,99,723,14,10,1,2997
2025-10-05 03:35:02.951953,father/daughter,70,797,11,27,1,2447
2025-10-05 03:35:02.951953,brother (noun),69,725,10,23,1,2206
2025-10-05 03:35:02.951953,Annihilation: Hamato,164,1348,12,44,1,3354
2025-10-05 03:35:02.951953,Puppet Tightly Strung,894,18679,145,631,17,60028
2025-10-05 03:35:02.951953,blood of the covenant,184,1488,35,41,1,3106
2025-10-05 03:35:02.951953,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-10-05 03:35:02.951953,Aegis,263,2326,24,23,1,1783
2025-10-05 03:35:02.951953,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-10-05 03:35:02.951953,Reunited,214,1633,7,15,1,3512
2025-10-05 03:35:02.951953,Wedding,204,1746,13,7,2,4149
2025-10-05 12:44:25.522822,The Brothers Hamato,52,681,15,62,5,25102
2025-10-05 12:44:25.522822,For the Family,37,330,9,22,1,4417
2025-10-05 12:44:25.522822,Noose Loosely Wound,426,10563,45,580,18,73440
2025-10-05 12:44:25.522822,Blame (Lies),41,487,8,14,1,2486
2025-10-05 12:44:25.522822,I am my father's daughter,46,448,5,5,1,3810
2025-10-05 12:44:25.522822,immutable,99,723,14,10,1,2997
2025-10-05 12:44:25.522822,father/daughter,70,797,11,27,1,2447
2025-10-05 12:44:25.522822,brother (noun),69,725,10,23,1,2206
2025-10-05 12:44:25.522822,Annihilation: Hamato,164,1348,12,44,1,3354
2025-10-05 12:44:25.522822,Puppet Tightly Strung,894,18682,145,631,17,60028
2025-10-05 12:44:25.522822,blood of the covenant,184,1488,35,41,1,3106
2025-10-05 12:44:25.522822,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-10-05 12:44:25.522822,Aegis,263,2326,24,23,1,1783
2025-10-05 12:44:25.522822,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-10-05 12:44:25.522822,Reunited,214,1633,7,15,1,3512
2025-10-05 12:44:25.522822,Wedding,204,1746,13,7,2,4149
2025-10-06 12:01:08.596282,The Brothers Hamato,52,695,15,62,5,25102
2025-10-06 12:01:08.596282,For the Family,37,335,9,22,1,4417
2025-10-06 12:01:08.596282,Noose Loosely Wound,426,10566,45,580,18,73440
2025-10-06 12:01:08.596282,Blame (Lies),41,487,8,14,1,2486
2025-10-06 12:01:08.596282,I am my father's daughter,46,450,5,5,1,3810
2025-10-06 12:01:08.596282,immutable,99,723,14,10,1,2997
2025-10-06 12:01:08.596282,father/daughter,70,799,11,27,1,2447
2025-10-06 12:01:08.596282,brother (noun),69,726,10,23,1,2206
2025-10-06 12:01:08.596282,Annihilation: Hamato,164,1350,12,44,1,3354
2025-10-06 12:01:08.596282,Puppet Tightly Strung,895,18694,145,631,17,60028
2025-10-06 12:01:08.596282,blood of the covenant,184,1489,35,41,1,3106
2025-10-06 12:01:08.596282,"Lone Rat, No Cubs",62,537,8,6,1,645
2025-10-06 12:01:08.596282,Aegis,263,2328,24,23,1,1783
2025-10-06 12:01:08.596282,Does it make you uncomfortable?,274,2073,26,12,1,2346
2025-10-06 12:01:08.596282,Reunited,214,1633,7,15,1,3512
2025-10-06 12:01:08.596282,Wedding,204,1746,13,7,2,4149
2025-10-06 18:29:09.352568,The Brothers Hamato,52,696,15,62,5,25102
